Año,Competencias,total empresas,EMPRESAS DE 250 A 499 TRABAJADORES,EMPRESAS SECTOR SERVICIOS,EMPRESAS COMUNIDAD CATALUÑA
2019,De dirección,16.637833129124044,30.25616239729338,17.043336913297146,18.48374848750365
2019,De trabajo en equipo,26.441100206380284,30.352827452875786,28.287132448985517,28.009346184336795
2019,De atención al público/ trato a clientes,26.41342001033937,25.374577090381827,33.69307131868451,24.191596778904326
2019,Administrativas de oficina,14.990454402982948,14.644755920734655,14.50001451336681,11.9810572871031
2019,Técnicas específicas del puesto de trabajo,50.349055413310104,54.27742870952151,44.11773243156948,47.584178245086996
2019,"De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",12.4849895995734,13.968100531657806,12.596441322457984,12.980347978470396
2019,En lenguas extranjeras,9.909917244355071,34.7027549540841,10.750341064120054,14.586723411357283
2019,Generales de tecnologías de la información ,11.100979797527508,23.537941034316095,11.545093030681258,11.956022864772395
2019,Profesionales de tecnologías de la información ,5.903615929138698,9.424842919284679,6.684856753069577,8.015187549547294
2019,Básicas de cálculo y/o comunicación oral o escrita,1.3380118292131904,2.9966167230546157,1.582537517053206,1.2079108774565026
2019,Otras ,10.976418915343377,13.48477525374577,9.644422513134597,12.412901072307756
2020,De dirección,15.275112566003186,23.03282959874935,15.581088992974239,10.595408656248958
2020,De trabajo en equipo,21.72680638647452,22.928608650338717,23.00021955503513,18.798520641055543
2020,De atención al público/ trato a clientes,18.633906510642035,18.60343929129755,23.86380269320843,18.531969479892048
2020,Administrativas de oficina,11.114246654375338,10.057321521625846,11.129610655737705,9.156032385966082
2020,Técnicas específicas del puesto de trabajo,53.49299519634772,62.7931214174049,47.535494730679154,53.99326958318062
2020,"De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",11.671119138101867,13.757165190203231,12.245682084309134,13.973944623996267
2020,En lenguas extranjeras,9.327614102419385,29.963522668056278,9.969628220140516,13.670742678172791
2020,Generales de tecnologías de la información ,11.85862462530258,22.35539343408025,12.731447599531617,13.061006897011294
2020,Profesionales de tecnologías de la información ,4.75160226260802,10.369984366857738,5.549253512880562,5.8507979875387335
2020,Básicas de cálculo y/o comunicación oral o escrita,0.5938718942443968,1.354872329338197,0.700746487119438,0.749675140772332
2020,Otras ,16.35185812293838,13.913496612819177,16.999048594847775,21.50734681637957
2021,De dirección,18.460771046731004,26.42626480086114,19.073772763121433,21.411395713538944
2021,De trabajo en equipo,25.83836268631654,29.44025834230355,26.98322474297123,26.879247255619447
2021,De atención al público/ trato a clientes,20.20861525696619,18.353067814854683,26.4055761210149,15.381599581808677
2021,Administrativas de oficina,18.01775995416786,13.078579117330463,18.718515308043738,19.79874542603241
2021,Técnicas específicas del puesto de trabajo,46.67716986536809,52.529601722282024,39.18276575033927,47.004704652378464
2021,"De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",11.202204683965665,13.02475780409042,11.06058560638895,10.094093047569263
2021,En lenguas extranjeras,7.862088720749909,30.893433799784713,8.701676104673057,11.231050705697857
2021,Generales de tecnologías de la información ,13.936822765930126,22.604951560818083,15.801141086945709,16.194458964976477
2021,Profesionales de tecnologías de la información ,5.719139857169668,11.410118406889127,6.528921509417875,6.949817041296393
2021,Básicas de cálculo y/o comunicación oral o escrita,1.9730538626418672,3.821313240043057,2.3901721577627306,1.3512807109252483
2021,Otras ,13.93139007694663,15.823466092572659,13.353417221460392,12.467328802927339
2022,De dirección,13.52802007207086,24.22680412371134,14.900472233845418,13.059921001764854
2022,De trabajo en equipo,24.28139628868757,29.053420805998126,27.229362185426506,26.491721993444827
2022,De atención al público/ trato a clientes,23.473545953591756,18.134957825679475,31.00962400621675,23.972602739726028
2022,Administrativas de oficina,15.630788401306706,11.715089034676664,17.280769920497338,14.425581981679132
2022,Técnicas específicas del puesto de trabajo,41.638601690634154,53.608247422680414,33.12570984517903,42.13799478947811
2022,"De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",11.690886740982723,15.55763823805061,12.085599856536554,11.68165392049752
2022,En lenguas extranjeras,8.894352204223217,28.8659793814433,10.159603084464104,9.969325153374234
2022,Generales de tecnologías de la información ,12.00409187350554,20.89971883786317,13.186681810030485,14.13564165055887
2022,Profesionales de tecnologías de la información ,5.492456134442461,8.200562324273664,6.321358120628848,6.4228086393814605
2022,Básicas de cálculo y/o comunicación oral o escrita,1.6013875324150473,4.404873477038426,1.9977284954271026,1.9455416421548029
2022,Otras ,19.598053413262384,13.87066541705717,18.458365712236237,17.318682242205227
2023,De dirección,11.720302260634622,19.844834626378113,11.605946351102732,11.366823393549451
2023,De trabajo en equipo,25.101615980470772,28.460596161698653,27.32357417039544,26.903406747504743
2023,De atención al público/ trato a clientes,21.546537946507925,20.048999591670068,27.663706362005133,20.386867936979296
2023,Administrativas de oficina,15.40415312116101,14.250714577378522,16.43423353851046,17.460612059721193
2023,Técnicas específicas del puesto de trabajo,41.047325988805454,45.77378521845651,33.40109478274695,39.38794027880888
2023,"De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",12.247243827002002,13.719885667619437,13.872169350625752,14.394126866287223
2023,En lenguas extranjeras,8.198404954988762,29.236423029808083,9.121675335589524,11.183287965025158
2023,Generales de tecnologías de la información ,12.089240358825876,19.926500612494895,12.771708269925274,12.952651983832384
2023,Profesionales de tecnologías de la información ,6.125399452517983,8.697427521437321,7.41533604379131,6.82793038026891
2023,Básicas de cálculo y/o comunicación oral o escrita,1.9142120169537722,4.001633319722336,2.2582733322733777,2.5303142786439
2023,Otras ,18.897609802535165,15.067374438546345,18.12183432893452,20.40336550358822
